weight,rarity,icon,title,name,desc
74,N,🎧,片耳イヤホン,片聴雑音,全部聞こえなくても、問題ない夜。
,,,,,
20,R,🕯,揺れ続ける灯,揺灯持続,消えそうで、意外としぶとい。
20,R,❄️,踏まれた雪,踏雪残痕,誰かが通った跡だけが、静かに残ってる。
20,R,🧣,借り物の温度,借温一時,返す前提だから、ちょうどいい。
20,R,📦,少し重い包み,重包未開,今は開けない。それだけ決めた。
20,R,🌙,夜更けの静けさ,深夜無音,音がないことに、少し緊張する。
20,R,🪑,隣の空席,隣席空白,誰も座らないけど、空けてある。
20,R,📖,読みかけの章,途中章句,結末より、途中のほうが好きだ。
20,R,🎶,低いリズム,低拍持続,気分が落ち着く速さ。
20,R,☕,濃すぎた一口,苦味強杯,顔には出さないけど、ちゃんと効いてる。
20,R,🕰️,遅れた約束,遅刻承知,怒られる覚悟は、もう済ませた。
,,,,,
20,R,🧦,片方の手袋,片手防寒,ないほうの手が、やけに冷える。
20,R,📎,外れた留め具,脱留一瞬,壊れたわけじゃない。外れただけ。
20,R,🎄,夜の装飾,夜飾控灯,昼より、夜のほうが似合ってる。
20,R,🪟,反射する影,反影重層,自分のものか、分からなくなる。
20,R,📄,滲んだ文字,滲字未読,読めない部分が、気になって仕方ない。
20,R,🕯,短い蝋,短蝋余香,役目は終わった。でも匂いは残る。
20,R,❄️,溶け残り,残雪角隅,日陰にだけ、まだ残ってる。
20,R,🎧,音漏れ,漏音微量,聞こえてるけど、知らないふり。
20,R,📐,不揃い,不揃均衡,揃ってないのに、全体は崩れてない。
20,R,🛏️,夜の境目,夜境半醒,眠る前と後の、あいだ。
,,,,,
5,SR,🕯,消えない火種,火種存続,派手じゃない。でも、簡単には消えない。
5,SR,🎄,裏側の飾り,裏飾真価,表より、こっちのほうが好きだ。
5,SR,🌙,月影の合図,月影黙契,言葉はいらない、そんなやつ。
5,SR,📖,最後の余白,終頁余白,書かれていない一行を、勝手に想像する。
5,SR,🎶,夜の拍子,夜拍均整,身体が自然に合わせてくる。
,,,,,
20,R,📦,渡されなかった箱,未渡包箱,理由は聞かない。それでいい。
20,R,🧣,ほどけた結び,解結一瞬,結び直すかは、まだ決めてない。
20,R,❄️,冷たい空気,冷気吸入,肺の奥まで、冬が来た感じ。
20,R,🕰️,遅い針,遅針静行,進んではいる。ちゃんと。
20,R,🪑,背中の温度,背温残熱,立ち上がったあとも、少し残る。
